scientific_name	submitted_ftp	submitted_md5	sample_alias	country	fastq_ftp	fastq_md5	library_layout
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390172/SAMEA3993577_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	1d71aecfb0932609341aa9fb32432c91	sam_103239_20160518_DTU2016_558_PRJ1055_ESchericha_coli_15108573	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1417723/ERR1417723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1417723/ERR1417723_2.fastq.gz	b774d2286afbc1beeddee0fa173f080d;06b726fa2392bc3ffed4f0540a75e739	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390173/SAMEA3993579_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	ff0bbe8465f85e6afb0bc469585796f9	sam_103239_20160518_DTU2016_560_PRJ1055_ESchericha_coli_15079197	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1417725/ERR1417725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1417725/ERR1417725_2.fastq.gz	abce23eac9ab7732802d349291db9412;921c826182a0222a9eb8c0dcda8abda9	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390174/SAMEA3993580_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	975a9c4c755d68d2d6159f66b6a87e25	sam_103239_20160518_DTU2016_561_PRJ1055_ESchericha_coli_15098887	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1417726/ERR1417726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1417726/ERR1417726_2.fastq.gz	c62c3d3caf6e9511fcb83f08e372bd1b;90bf2d5dc1566db3246ebca300ccabf6	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390175/SAMEA3993581_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	28352506bbc9993ca1635eef089271d2	sam_103239_20160518_DTU2016_562_PRJ1055_ESchericha_coli_15089122	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1417727/ERR1417727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1417727/ERR1417727_2.fastq.gz	8954f55e72c4bbc330ad09e74bd7291b;5547124339dfe610a3f08397e7abbf85	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390176/SAMEA3993583_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	edd261323e3be6cd633880fa6d0c430f	sam_103239_20160518_DTU2016_564_PRJ1055_ESchericha_coli_15093354	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1417729/ERR1417729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1417729/ERR1417729_2.fastq.gz	fec08ed5bba3962a0e6949bbf486cf95;2ce51e99c67a3265f1272a876acf7e4b	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390177/SAMEA3993584_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	faf1b83d510f7f8031cbf29579fe9f5a	sam_103239_20160518_DTU2016_565_PRJ1055_ESchericha_coli_15079953	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1417730/ERR1417730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1417730/ERR1417730_2.fastq.gz	67e289ef42c6052847988a65e868cad8;e926a554e8313fdb59b241a3b499d6ab	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390178/SAMEA3993585_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	3a281eb9a63002a715bcbffcf28847b3	sam_103239_20160518_DTU2016_566_PRJ1055_ESchericha_coli_15097577	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417731/ERR1417731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417731/ERR1417731_2.fastq.gz	f3a7fc87a0c9df2114442027e02e18c8;7b265e3252c2589680e783f924ca530e	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390179/SAMEA3993586_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	54f5d512aef6a3b5b6fbd2c984e842d6	sam_103239_20160518_DTU2016_567_PRJ1055_ESchericha_coli_15102768	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1417732/ERR1417732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1417732/ERR1417732_2.fastq.gz	c4385c2a58b11dcb347c47763335aa97;402f4a16b937839521944d8b9550a585	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390180/SAMEA3993587_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	a791671c4f25efcec71924972f2e5e8a	sam_103239_20160518_DTU2016_568_PRJ1055_ESchericha_coli_15090208	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1417733/ERR1417733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1417733/ERR1417733_2.fastq.gz	93d88e9a0888a59cb301fac3ec5e00af;449ddc8bd3631ee7d0755ccc34b9e56d	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390181/SAMEA3993588_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	3cedfcfde1f5177ed8f7820c18dc82d3	sam_103239_20160518_DTU2016_569_PRJ1055_ESchericha_coli_15085381	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1417734/ERR1417734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1417734/ERR1417734_2.fastq.gz	f679f185c35eb352cec51853ad8f0291;a6bb3aa85d1035472db6e481b2e7de5a	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390182/SAMEA3993591_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	2d31adf2b7df275fb3e6fc0fb9f421d2	sam_103239_20160518_DTU2016_572_PRJ1055_ESchericha_coli_15093352	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1417737/ERR1417737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1417737/ERR1417737_2.fastq.gz	5fce43cf91ad03f24f56f011be613fb9;de34955121f4bffb5013b366dad33815	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390183/SAMEA3993592_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	e16ea84ee237ac336a75e469ef01b8ce	sam_103239_20160518_DTU2016_573_PRJ1055_ESchericha_coli_15093651	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1417738/ERR1417738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1417738/ERR1417738_2.fastq.gz	d8c14c5148b8ad68b4215756adb438af;26658aa3c35fe79b9ec935d56558fa39	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390184/SAMEA3993594_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	2e820ba290f7c05da49efffec0ed5f77	sam_103239_20160518_DTU2016_575_PRJ1055_ESchericha_coli_15097557	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1417740/ERR1417740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1417740/ERR1417740_2.fastq.gz	6b30916053eac0ac6a4a70bdb628d6ad;dc8a623b56a66ecf20099fd2c14f0059	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390185/SAMEA3993595_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	74ef299c9767cc42b996b89ce46c35e1	sam_103239_20160518_DTU2016_576_PRJ1055_ESchericha_coli_15097580	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417741/ERR1417741_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417741/ERR1417741_2.fastq.gz	6d8826d69aebfbf475e5fd2878957bb4;7d51205e3f857eed99c4683e4095ba71	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390186/SAMEA3993596_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	7ee48edf3b9992cbffe5129aef11c43a	sam_103239_20160518_DTU2016_577_PRJ1055_ESchericha_coli_15097617	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1417742/ERR1417742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1417742/ERR1417742_2.fastq.gz	cf9528ffaeb913d667150d77a4707829;b1730827f9774992e86454122864a5fb	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390187/SAMEA3993597_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	a6f8b37fea7bd0c92f5d7c1d83d0409a	sam_103239_20160518_DTU2016_578_PRJ1055_ESchericha_coli_15100418	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1417743/ERR1417743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1417743/ERR1417743_2.fastq.gz	18280951d3e9b0b2010af14ed21fad21;a7512f1cf61fb383cae023f26067efbd	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390188/SAMEA3993598_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	804f5984a548a44e1e01ee7b39ce1de1	sam_103239_20160518_DTU2016_579_PRJ1055_ESchericha_coli_15101403	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1417744/ERR1417744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1417744/ERR1417744_2.fastq.gz	67e543dfdc876e7ae9a11f9b37b129cb;79bed2f62b45831a377660f319a2f512	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390189/SAMEA3993599_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	fbba3fe804248e9c92bc334d13ccb651	sam_103239_20160518_DTU2016_580_PRJ1055_ESchericha_coli_15104250	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1417745/ERR1417745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1417745/ERR1417745_2.fastq.gz	582038aa75701eccfa59b3953a829250;34ec904d3b94d0b11d93d2d98c18cd81	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390190/SAMEA3993601_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	aed9cf54ba15847a8bdac9b4f58d534c	sam_103239_20160518_DTU2016_582_PRJ1055_ESchericha_coli_15116853	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1417747/ERR1417747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1417747/ERR1417747_2.fastq.gz	801385fb39afd78a9f8e43a1bcb2751b;fa034d2e6be12329dcdc8197c37fb156	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390191/SAMEA3993604_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	0cca061db16fa3f9a22e195490b25aa7	sam_103239_20160518_DTU2016_585_PRJ1055_ESchericha_coli_15080719	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1417750/ERR1417750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1417750/ERR1417750_2.fastq.gz	65c60a1d0a59b70e150a947a6241146c;6ec2c996cdbec560e6d121e1ff174555	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390192/SAMEA3993605_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	3702444a019164960cd61e481c095a73	sam_103239_20160518_DTU2016_586_PRJ1055_ESchericha_coli_15085380	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417751/ERR1417751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417751/ERR1417751_2.fastq.gz	ff7d1e8099528db1ae85a4d78187a560;7fb219a26310e4d53b228a0fa8c7ef53	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390193/SAMEA3993607_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	043675c6683bb3b86d0bf3f1cfb1c0f4	sam_103239_20160518_DTU2016_588_PRJ1055_ESchericha_coli_15080851	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1417753/ERR1417753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1417753/ERR1417753_2.fastq.gz	74450da3b784e0d2523e8488be457edb;75387607e7bfd8a2d442646bddcaa0ee	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390194/SAMEA3993608_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	ba42ad1bddc45ad940ac7f80858dd277	sam_103239_20160518_DTU2016_589_PRJ1055_ESchericha_coli_15089666	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1417754/ERR1417754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1417754/ERR1417754_2.fastq.gz	62f1d1592760e535c1efd60e321bd2e3;69ffbfb1f4187df93a4450d8c016e136	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390195/SAMEA3993609_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	a481e48b08f63591a57bf97fe9e36ef8	sam_103239_20160518_DTU2016_590_PRJ1055_ESchericha_coli_15090169	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1417755/ERR1417755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1417755/ERR1417755_2.fastq.gz	f6e0a4a88e3e7918a3b13de4c51451b1;f5807ccb5bb94b740707158e426e4ca8	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390196/SAMEA3993610_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	824b08c172b6922a6e2e49e362072637	sam_103239_20160518_DTU2016_591_PRJ1055_ESchericha_coli_15078479	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1417756/ERR1417756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1417756/ERR1417756_2.fastq.gz	90c939a7cd0fa1e88817001e0cbfbea6;bf5a08610b8f882aa02b915d706012b8	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390197/SAMEA3993611_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	8592c5ecf837e8502aa37ca0864e90a1	sam_103239_20160518_DTU2016_592_PRJ1055_ESchericha_coli_15083178	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1417757/ERR1417757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1417757/ERR1417757_2.fastq.gz	6d4dc49eb560ae26bae46e63255f9834;0093a67ea9cee64c1bcfff2f32e7392b	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390198/SAMEA3993612_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	4fdd612baa9a536e92106ab709a33893	sam_103239_20160518_DTU2016_593_PRJ1055_ESchericha_coli_15078483	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1417758/ERR1417758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1417758/ERR1417758_2.fastq.gz	8d158727e98b3ab590e608f1f435c33f;842a03926c23dd8dcca56f6319b09301	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390199/SAMEA3993613_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	ce1273ea28ab2d43c20fbb9ce0abe7d3	sam_103239_20160518_DTU2016_594_PRJ1055_ESchericha_coli_15083180	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1417759/ERR1417759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1417759/ERR1417759_2.fastq.gz	5b33a04465d532a4276c74ae51e06692;207bc07bab4f5c3b8b0bb47fbb8db0f6	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390200/SAMEA3993614_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	ebebbfa068a30424ea115d8531c4e267	sam_103239_20160518_DTU2016_595_PRJ1055_ESchericha_coli_15091340	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1417760/ERR1417760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1417760/ERR1417760_2.fastq.gz	7efc7aba3d6833819475b38edf48d507;1c86dfa0b1fe9f31ec57ea5ddf0dceff	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390201/SAMEA3993615_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	3dfafd80a8802452b0de35e11ac4acb4	sam_103239_20160518_DTU2016_596_PRJ1055_ESchericha_coli_15083185	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417761/ERR1417761_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1417761/ERR1417761_2.fastq.gz	3aff5dd7b19313f54948ffa6b087e7d0;e612474d196c09f4cafd8e60f8a5d499	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ390/ERZ390202/SAMEA3993618_Proj_1055_Antimicrobial_Susceptibility_data_format.txt	12013b74ba9effab29b2e66f70a74006	sam_103239_20160518_DTU2016_599_PRJ1055_ESchericha_coli_15092881	Denmark	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1417764/ERR1417764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1417764/ERR1417764_2.fastq.gz	791725920c6d717e7e1cbd688e52c404;dbe69e386d1397fd71bfc9d5cba6a1c4	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ402/ERZ402694/SAMEA4555335.txt_SAMEA4555335	c94774c8957b280b21cf8b65b482f578	LSASTEC1	Italy	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/006/ERR1737206/ERR1737206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/006/ERR1737206/ERR1737206_2.fastq.gz	4b490c7ab4e3f3d0846248d1e309128d;2de613d3ac038191cc4186a897853674	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ402/ERZ402695/SAMEA4555336.txt_SAMEA4555336	203d00948bbd7023079fa5a7313d64e4	LSASTEC2	Italy	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/007/ERR1737207/ERR1737207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/007/ERR1737207/ERR1737207_2.fastq.gz	7a768e4b1ddfbe8c53ecf8482bbf0823;b76e0ac09b71fd17551f5f81ad068657	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ402/ERZ402696/SAMEA4555337.txt_SAMEA4555337	eb4c6c2ebc7711e21993207f28f3efed	LSASTEC3	Italy	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/008/ERR1737208/ERR1737208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/008/ERR1737208/ERR1737208_2.fastq.gz	c994fc4dc6f8ba800f591f9837bd7a47;f23db99ec17bb2927525be7c58bb2eed	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ402/ERZ402697/SAMEA4555338.txt_SAMEA4555338	f19c6ee3c78e5d74a3a7a0b740f32e07	LSASTEC4	Italy	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/009/ERR1737209/ERR1737209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/009/ERR1737209/ERR1737209_2.fastq.gz	b563161a846fb4744627f3e6b27b2687;3162f10aa8a0e83be4ed796e11e9b7c4	PAIRED
Escherichia coli	ftp.sra.ebi.ac.uk/vol1/ERZ402/ERZ402698/SAMEA4555339.txt_SAMEA4555339	1d0f204cef14e9b1c9f75168e526bcde	LSASTEC12	Italy	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/000/ERR1737210/ERR1737210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/000/ERR1737210/ERR1737210_2.fastq.gz	6054a32dc457755039cb6dd90958e444;b7703628366e35c887b6eaf2652151a6	PAIRED
